Language,Title
en,Order theory
ar,نظرية الترتيب
bg,Теория на наредбите
ca,Teoria de l'ordre
cs,Teorie uspořádání
da,Ordningsteori
el,Θεωρία διάταξης
es,Teoría del orden
eu,Ordenaren teoria
fa,نظریه ترتیب
ko,순서론
hr,Teorija redova
id,Teori order
it,Teoria degli ordini
ms,Teori tertib
nl,Ordetheorie
pt,Teoria da ordem
ru,Теория порядков
en-simple,Order theory
sk,Teória usporiadania
sl,Urejenost
tr,Sıra teorisi
uk,Теорія порядку
vi,Lý thuyết thứ tự
yue,序理論
zh,序理论
