Language,Title
en,Face value
az,Nominal qiymətləndirmə
be,Намінал
be-tarask,Намінал
bg,Номинална стойност
bar,Nennwert
cs,Nominální hodnota
de,Nennwert
es,Valor facial
fr,Valeur faciale
gl,Valor facial
hr,Apoen
he,עריך
lt,Nominalas
hu,Névérték
ja,額面
pl,Nominał
ru,Номинальная стоимость
yue,面值
