Language,Title
en,Finite geometry
ar,هندسة منتهية
cy,Geometreg feidraidd
de,Endliche Geometrie
es,Geometría finita
fa,هندسه متناهی
fr,Géométrie finie
id,Geometri hingga
hu,Véges geometria
nl,Eindige meetkunde
ja,有限幾何学
pt,Geometria finita
ru,Конечная геометрия
uk,Скінченна геометрія
vi,Hình học hữu hạn
yue,有限幾何
zh,有限幾何學
