Language,Title
en,Structure theorem for finitely generated modules over a principal ideal domain
ca,Teorema d'estructura dels mòduls finitament generats sobre un domini d'ideals principals
de,Hauptidealring
fr,Théorème des facteurs invariants
ja,主イデアル整域上の有限生成加群の構造定理
ru,Структурная теорема для конечнопорождённых модулей над областями главных идеалов
uk,Структурна теорема для скінченнопороджених модулів над областями головних ідеалів
vi,Định lý cấu trúc cho các mô đun hữu hạn sinh trên một vành chính
